id,status,total,created_at,customer_name
1,SHIPPED,419,2025-05-21T00:00:00,Dave
2,CONFIRMED,1689,2025-12-13T00:00:00,Iris
3,DRAFT,6922,2025-01-17T00:00:00,Alice
4,DRAFT,3821,2025-09-16T00:00:00,Jack
5,DRAFT,3267,2025-11-29T00:00:00,Iris
6,CONFIRMED,7369,2025-10-29T00:00:00,Eve
7,SHIPPED,116,2025-03-23T00:00:00,Grace
8,CONFIRMED,2557,2025-04-21T00:00:00,Frank
9,CONFIRMED,6234,2025-02-19T00:00:00,Frank
10,SHIPPED,9901,2025-05-16T00:00:00,Alice
11,SHIPPED,8795,2025-03-05T00:00:00,Grace
12,DRAFT,4813,2025-11-18T00:00:00,Jack
13,SHIPPED,5935,2025-10-23T00:00:00,Dave
14,SHIPPED,760,2025-12-05T00:00:00,Dave
15,SHIPPED,1317,2025-04-30T00:00:00,Bob
16,CONFIRMED,7438,2025-11-22T00:00:00,Frank
17,CONFIRMED,5830,2025-04-18T00:00:00,Eve
18,SHIPPED,1179,2025-11-08T00:00:00,Carol
19,CONFIRMED,4020,2025-03-25T00:00:00,Henry
20,CONFIRMED,9135,2025-04-23T00:00:00,Frank
21,SHIPPED,926,2025-04-28T00:00:00,Alice
22,SHIPPED,6582,2025-05-18T00:00:00,Bob
23,CONFIRMED,9302,2025-06-11T00:00:00,Dave
24,SHIPPED,6492,2025-11-26T00:00:00,Henry
25,CONFIRMED,2297,2025-05-07T00:00:00,Iris
26,CONFIRMED,9587,2025-08-08T00:00:00,Jack
27,CONFIRMED,3603,2025-03-12T00:00:00,Iris
28,CONFIRMED,781,2025-02-26T00:00:00,Carol
29,SHIPPED,6926,2025-11-02T00:00:00,Bob
30,CONFIRMED,9773,2025-08-28T00:00:00,Iris
31,CONFIRMED,9074,2025-01-06T00:00:00,Bob
32,SHIPPED,8807,2025-05-17T00:00:00,Frank
33,CONFIRMED,7133,2025-03-22T00:00:00,Henry
34,DRAFT,4325,2025-09-14T00:00:00,Carol
35,CONFIRMED,1753,2025-11-17T00:00:00,Eve
36,SHIPPED,8327,2025-11-08T00:00:00,Dave
37,CONFIRMED,2656,2025-10-04T00:00:00,Iris
38,CANCELLED,9823,2025-06-15T00:00:00,Henry
39,DRAFT,5957,2025-06-07T00:00:00,Dave
40,DRAFT,9305,2025-02-10T00:00:00,Bob
41,SHIPPED,1143,2025-09-30T00:00:00,Carol
42,CONFIRMED,7797,2025-10-09T00:00:00,Carol
43,CONFIRMED,9948,2025-08-05T00:00:00,Dave
44,CANCELLED,3305,2026-01-01T00:00:00,Eve
45,CONFIRMED,6128,2025-08-13T00:00:00,Iris
46,CONFIRMED,4071,2025-04-26T00:00:00,Bob
47,CONFIRMED,9648,2025-10-11T00:00:00,Dave
48,CONFIRMED,127,2025-02-06T00:00:00,Alice
49,CONFIRMED,524,2025-06-19T00:00:00,Bob
50,CONFIRMED,4572,2025-12-09T00:00:00,Henry
51,CONFIRMED,2177,2025-10-20T00:00:00,Jack
52,CONFIRMED,7759,2025-07-28T00:00:00,Dave
53,DRAFT,7072,2025-07-01T00:00:00,Grace
54,CONFIRMED,897,2025-12-11T00:00:00,Bob
55,DRAFT,5569,2025-02-25T00:00:00,Dave
56,CONFIRMED,8796,2025-08-18T00:00:00,Carol
57,CONFIRMED,4573,2025-08-25T00:00:00,Dave
58,SHIPPED,1245,2025-08-15T00:00:00,Iris
59,DRAFT,8866,2025-01-08T00:00:00,Bob
60,CANCELLED,3882,2025-03-27T00:00:00,Grace
61,CONFIRMED,3512,2025-07-25T00:00:00,Alice
62,CONFIRMED,45,2025-07-19T00:00:00,Eve
63,CANCELLED,7464,2025-05-27T00:00:00,Grace
64,SHIPPED,9115,2025-12-05T00:00:00,Henry
65,CONFIRMED,4871,2025-04-22T00:00:00,Alice
66,CONFIRMED,8893,2025-02-01T00:00:00,Frank
67,DRAFT,9581,2025-09-02T00:00:00,Iris
68,CANCELLED,8711,2025-03-22T00:00:00,Alice
69,CANCELLED,1322,2025-04-06T00:00:00,Bob
70,CONFIRMED,3863,2025-07-26T00:00:00,Bob
71,CANCELLED,9343,2025-05-07T00:00:00,Jack
72,CONFIRMED,1353,2025-08-03T00:00:00,Jack
73,CONFIRMED,5193,2025-05-14T00:00:00,Dave
74,SHIPPED,5157,2025-05-03T00:00:00,Eve
75,CONFIRMED,4925,2025-08-23T00:00:00,Frank
76,CANCELLED,1198,2025-01-05T00:00:00,Henry
77,SHIPPED,9234,2025-02-21T00:00:00,Bob
78,CONFIRMED,8298,2025-05-16T00:00:00,Carol
79,CANCELLED,1137,2025-05-06T00:00:00,Frank
80,CONFIRMED,7189,2025-10-06T00:00:00,Eve
81,SHIPPED,8676,2025-01-05T00:00:00,Iris
82,CONFIRMED,1707,2025-03-10T00:00:00,Eve
83,CONFIRMED,1763,2025-10-11T00:00:00,Carol
84,CONFIRMED,9919,2025-04-18T00:00:00,Frank
85,CONFIRMED,4335,2025-09-16T00:00:00,Henry
86,CONFIRMED,842,2025-02-17T00:00:00,Grace
87,SHIPPED,732,2025-01-02T00:00:00,Frank
88,SHIPPED,4301,2025-03-24T00:00:00,Henry
89,CONFIRMED,7017,2025-10-15T00:00:00,Alice
90,CONFIRMED,2452,2025-10-07T00:00:00,Alice
91,SHIPPED,9553,2025-10-10T00:00:00,Carol
92,CONFIRMED,695,2025-06-07T00:00:00,Frank
93,SHIPPED,663,2025-07-03T00:00:00,Dave
94,SHIPPED,1694,2025-07-01T00:00:00,Iris
95,SHIPPED,6668,2025-11-14T00:00:00,Carol
96,CANCELLED,3888,2025-03-25T00:00:00,Carol
97,SHIPPED,416,2025-04-02T00:00:00,Frank
98,SHIPPED,6755,2025-12-09T00:00:00,Dave
99,CONFIRMED,1781,2025-07-15T00:00:00,Alice
100,SHIPPED,3654,2025-04-13T00:00:00,Henry
101,CONFIRMED,3738,2025-04-25T00:00:00,Alice
102,SHIPPED,6538,2025-06-18T00:00:00,Eve
103,SHIPPED,4583,2025-06-29T00:00:00,Iris
104,CONFIRMED,8795,2025-06-19T00:00:00,Alice
105,CONFIRMED,4289,2025-04-02T00:00:00,Jack
106,CANCELLED,4359,2025-01-20T00:00:00,Bob
107,CONFIRMED,5673,2025-06-10T00:00:00,Grace
108,SHIPPED,8389,2025-03-01T00:00:00,Grace
109,SHIPPED,3124,2025-05-11T00:00:00,Alice
110,SHIPPED,37,2025-09-24T00:00:00,Iris
111,SHIPPED,3238,2025-07-06T00:00:00,Grace
112,DRAFT,5419,2025-11-16T00:00:00,Frank
113,SHIPPED,2051,2025-06-03T00:00:00,Iris
114,CONFIRMED,6701,2025-06-17T00:00:00,Grace
115,SHIPPED,9093,2025-03-07T00:00:00,Dave
116,CONFIRMED,6221,2025-12-13T00:00:00,Carol
117,SHIPPED,4940,2025-07-27T00:00:00,Iris
118,SHIPPED,4988,2025-05-27T00:00:00,Dave
119,CONFIRMED,9512,2025-11-07T00:00:00,Frank
120,CONFIRMED,7254,2025-12-12T00:00:00,Dave
121,CONFIRMED,2790,2025-12-04T00:00:00,Bob
122,CONFIRMED,5501,2025-02-17T00:00:00,Dave
123,SHIPPED,3690,2025-04-12T00:00:00,Carol
124,DRAFT,4021,2025-09-01T00:00:00,Jack
125,SHIPPED,1203,2025-08-22T00:00:00,Grace
126,SHIPPED,9441,2025-04-10T00:00:00,Grace
127,CONFIRMED,4007,2025-03-17T00:00:00,Alice
128,SHIPPED,1756,2025-08-06T00:00:00,Dave
129,CONFIRMED,8496,2025-08-26T00:00:00,Alice
130,CONFIRMED,1998,2025-08-22T00:00:00,Carol
131,SHIPPED,8712,2025-10-14T00:00:00,Jack
132,CONFIRMED,7261,2025-11-10T00:00:00,Iris
133,CONFIRMED,8986,2025-08-17T00:00:00,Carol
134,SHIPPED,7787,2025-08-19T00:00:00,Eve
135,SHIPPED,4553,2025-09-24T00:00:00,Henry
136,SHIPPED,4509,2025-08-14T00:00:00,Bob
137,SHIPPED,3851,2025-05-20T00:00:00,Frank
138,CONFIRMED,8859,2025-02-11T00:00:00,Carol
139,CONFIRMED,6285,2025-12-22T00:00:00,Carol
140,SHIPPED,1062,2025-08-01T00:00:00,Grace
141,CONFIRMED,7643,2025-08-01T00:00:00,Alice
142,CONFIRMED,6893,2025-07-19T00:00:00,Jack
143,CANCELLED,330,2025-10-22T00:00:00,Grace
144,CONFIRMED,5773,2025-06-02T00:00:00,Grace
145,SHIPPED,6875,2025-10-03T00:00:00,Iris
146,SHIPPED,3623,2025-09-07T00:00:00,Dave
147,CONFIRMED,7966,2025-01-15T00:00:00,Grace
148,CONFIRMED,6634,2025-03-26T00:00:00,Henry
149,CANCELLED,8761,2025-01-14T00:00:00,Grace
